niche_breadth,type
17.55765921,rare
7.235890014,rare
16.61129568,rare
27.47252747,rare
16.39344262,rare
21.55172414,rare
19.84126984,rare
14.32664756,rare
20.74688797,rare
17.66784452,rare
19.15708812,rare
23.80952381,rare
22.83105023,rare
25.64102564,rare
16.3078203,rare
21.26030369,rare
14.52,rare
19.56287425,rare
26.136,rare
12.74512354,rare
14.14285714,rare
17.91773309,rare
22.53103448,rare
13.19111709,rare
11.17559863,rare
23.61686747,rare
19.03106796,rare
13.08544726,rare
9.469565217,rare
14.82098765,rare
16.33333333,rare
20.87826087,rare
17.52554745,rare
20.26160338,rare
26.53038674,rare
21.92694064,rare
26.38461538,rare
20.69827586,rare
19.28514056,rare
21.53363229,rare
21.72850679,rare
11.16744186,rare
17.33574007,rare
21.43280182,rare
14.5875969,rare
20.86252772,rare
23.34739454,rare
18.93158954,rare
21.62988506,rare
25.09066667,rare
7.591433278,rare
23.63076923,rare
21.83886256,rare
17.38867925,rare
22.47804878,rare
21.73584906,rare
30.31578947,rare
5.248291572,rare
20.48,rare
27.92727273,rare
18.28571429,rare
20.94545455,rare
13.12820513,rare
20.65217391,rare
18.3808554,rare
15.7504363,rare
14.07956318,rare
18.68530021,rare
17.45647969,rare
11.67529107,rare
20.10022272,rare
19.83516484,rare
27.1021021,rare
15.21922428,rare
4.812636166,rare
11.68783069,rare
19.81165919,rare
19.46255507,rare
24.1420765,rare
24.54444444,rare
19.29257642,rare
20.54883721,rare
19.29257642,rare
19.9009009,rare
2.819400128,rare
21.03809524,rare
16.92563601,rare
13.40930233,rare
16.16635514,rare
22.00763359,rare
23.82644628,rare
14.68421053,rare
21.35555556,rare
20.35058824,rare
11.57831325,rare
12.51664255,rare
22.23393316,rare
9.707070707,rare
20.74509804,rare
21.92746114,rare
17.85654008,rare
14.49315068,rare
19.06306306,rare
24.74853801,rare
13.43492063,rare
25.80487805,rare
13.10216718,rare
20.84729064,rare
18.24137931,rare
15.79104478,rare
23.06685237,rare
17.80860215,rare
17.43368421,rare
18.69300226,rare
17.28810021,rare
22.08266667,rare
15.71347249,rare
22.5,rare
21.31578947,rare
17.53246753,rare
17.68558952,rare
24.10714286,rare
17.23404255,rare
19.75609756,rare
11.06557377,rare
11.53846154,rare
23.9305136,rare
21.70136986,rare
18.55035129,rare
21.70136986,rare
6.261660079,rare
22.31267606,rare
20.68146214,rare
17.72035794,rare
10.77687075,rare
9.221187427,rare
22.12571429,rare
8.623608018,rare
28.47058824,rare
22.25287356,rare
8.604444444,rare
15.93415638,rare
22.25287356,rare
17.13274336,rare
17.84331797,rare
15.24409449,rare
11.12643678,rare
13.39792388,rare
12.37060703,rare
21.63128492,rare
21.63128492,rare
18.15107914,rare
23.87697161,rare
26.19031142,rare
19.06549118,rare
13.93922652,rare
16.20770878,rare
7.975763962,rare
22.19648094,rare
18.78163772,rare
15.35294118,rare
23.57943925,rare
24.02857143,rare
12.98284734,rare
18.15107914,rare
21.56410256,rare
11.48447205,rare
24.32894737,rare
21.13142857,rare
10.38764045,rare
12.20462046,rare
23.25786164,rare
6.173622705,rare
22.82716049,rare
13.35018051,rare
19.46315789,rare
10.84457478,rare
18.86734694,rare
18.67676768,rare
18.39800995,rare
22.27710843,rare
16.96330275,rare
15.87124464,rare
23.38187702,rare
28.55731225,rare
11.09831029,rare
18.29113924,rare
26.85873606,rare
18.38422392,rare
20.82132565,rare
14.42115768,rare
18.57326478,rare
17.75184275,rare
20.70200573,rare
21.18768328,rare
26.93129771,rare
21.91304348,rare
22.61538462,rare
24.67132867,rare
16.64150943,rare
17.72864322,rare
15.54185022,rare
8.242990654,rare
12.33566434,rare
30.94736842,rare
14.7,rare
22.18867925,rare
24.34275618,rare
19.29691877,rare
22.00958466,rare
15.62131519,rare
23.83737024,rare
12.82867784,rare
