Class	FW1	FW10	FW11	FW12	FW13	FW14	FW15	FW16	FW17	FW18	FW2	FW3	FW4	FW5	FW6	FW7	FW8	FW9	RE1	RE10	RE11	RE12	RE2	RE3	RE4	RE5	RE6	RE7	RE8	RE9	SW1	SW10	SW11	SW12	SW13	SW14	SW15	SW16	SW17	SW18	SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9
Armatimonadia	0.0292	0.0838	0.0331	0.0507	0.0195	0.0214	0.0351	0.00195	0.00195	0.0234	0.0331	0.0468	0.0351	0.0273	0.0273	0.0429	0.0507	0.0662	0.00585	0.0195	0	0.0136	0.0253	0.0117	0.00195	0.0136	0.00974	0.039	0.039	0.0604	0	0.0039	0.0039	0.0136	0.00585	0.0175	0.0156	0.00195	0	0.00779	0.0117	0.0156	0.00585	0.0156	0.0195	0.00779	0.0136	0.00585
Acidobacteria_Gp3	0.129	0.0448	0.0585	0.0585	0.0214	0.0721	0.0292	0.0351	0.00195	0.0507	0.189	0.117	0.14	0.0896	0.0487	0.0507	0.0643	0.037	0.0156	0.0195	0.00585	0	0.0156	0.00585	0.00585	0.0312	0.0507	0.0448	0.0351	0.0273	0.0214	0.0117	0.00195	0.00195	0.0253	0.0507	0.0253	0.0195	0	0.0039	0.00779	0.0039	0.0117	0.0195	0.0117	0.0312	0.037	0.0331
Acidobacteria_Gp10	0.0039	0.0039	0.00195	0	0.0039	0.00195	0.0136	0.00585	0.00585	0.00195	0	0.0039	0.0156	0.00195	0.00195	0.00195	0	0.00779	0.00779	0.00195	0.0039	0.0136	0.00779	0.00779	0.00195	0.00779	0	0.0273	0.0292	0.0312	0.00195	0.00779	0.00974	0.0136	0.00974	0.00974	0.0253	0.0156	0.0039	0.0117	0.00779	0.0175	0.00195	0.0039	0.00585	0.0136	0.0136	0.0117
Chloroflexia	0.0351	0.0234	0.00974	0.0117	0.00195	0.00585	0.00779	0.00195	0	0.00195	0.0351	0.0468	0.0175	0.0117	0.0117	0.0136	0.00974	0.0175	0.00585	0	0	0	0.00195	0.00974	0	0.0039	0.00974	0.00195	0.00195	0.00195	0.00195	0.00195	0	0	0.00974	0.00195	0	0	0.00195	0.00195	0	0	0.00779	0.00585	0.00195	0.00195	0.00195	0
Cyanobacteria	0.00195	0.00585	0	0.00195	0.0156	0.00585	0.00585	0.00779	0.00974	0	0	0.00585	0.00195	0.0136	0	0	0.0039	0.0039	0.00585	0.0039	0.00585	0.00585	0.00974	0.00195	0.00195	0.00585	0.0039	0.0039	0.00585	0	0.00974	0.00585	0.0214	0.00195	0.00585	0.00974	0.00779	0.00585	0.0156	0.0039	0.00585	0.0156	0.0156	0.00585	0.00195	0.00585	0.0117	0.0136
Erysipelotrichia	0	0.00195	0.00195	0.0039	0	0.00195	0.00195	0	0	0.0039	0.00195	0.00195	0.00195	0	0.00195	0.0039	0.0136	0.00974	0	0	0	0	0.00195	0	0	0.0039	0	0	0	0	0.00585	0	0	0	0	0	0	0	0	0.00974	0	0	0.00195	0.00195	0.00195	0	0.00195	0.00195
Spirochaetia	0.00779	0.0156	0.00585	0.0175	0.0039	0.00195	0.00585	0	0	0.00974	0.0292	0.0156	0.0136	0.0156	0.0117	0.00974	0.00585	0.0136	0	0.0039	0.00195	0	0.00779	0.00195	0.00195	0.00195	0.0039	0.00779	0.00195	0.0117	0.00779	0	0.00195	0.00195	0.00195	0.00585	0	0.00195	0	0	0.00195	0	0	0.0039	0.00585	0	0	0.0039
Acidobacteria_Gp1	0.00195	0	0.00195	0.0039	0	0	0.0039	0	0	0.00585	0.00585	0.0039	0	0	0	0.00195	0.00195	0.00195	0	0.00195	0.0039	0.00585	0	0	0	0.00195	0	0.0292	0.0175	0.0156	0.0039	0	0	0.00195	0.00585	0.00195	0.00195	0	0	0	0.00195	0	0	0.0039	0	0.00779	0	0
Unassigned	0	0.0039	0.00195	0.0039	0	0	0.0039	0	0	0.00585	0.0039	0.00195	0.00779	0	0	0.00779	0	0.00195	0	0	0.00195	0	0	0	0.00195	0	0	0.0117	0.00779	0.0292	0	0.0039	0	0	0	0	0	0	0	0	0.0039	0	0	0.00779	0	0	0	0
Acidobacteria_Gp16	0.0175	0.00585	0.0039	0.00195	0.00974	0.0039	0.0117	0.00779	0.0039	0.00585	0.0039	0.00974	0.00585	0.0175	0.0117	0.0039	0.0136	0.00585	0	0	0	0	0.0136	0	0.0039	0.0117	0.0195	0.00195	0.0039	0.00585	0.00585	0.00195	0.00195	0.0039	0.00195	0.0039	0	0	0	0	0	0	0.0039	0.0039	0	0.00195	0.00585	0.00195
Oligoflexia	0.00974	0.0039	0.00585	0.0039	0	0.00585	0.0039	0	0.00195	0.00585	0.00974	0.00585	0.00585	0.00195	0.00195	0.0117	0.00779	0.00779	0	0.00195	0	0	0	0.0039	0	0	0	0.0039	0	0.0039	0	0	0	0	0	0.00195	0	0.00195	0	0	0	0	0.0039	0.0117	0.00195	0	0	0
Caldilineae	0.00974	0.00195	0.00195	0.00195	0.00195	0.00195	0.00195	0	0.00195	0.00779	0	0.0136	0.00779	0.0039	0	0.00585	0.00779	0.0039	0.00195	0.00195	0	0.00195	0	0	0.00195	0	0.00974	0	0.00195	0	0	0	0	0	0	0.00195	0	0	0	0	0	0.0039	0	0.00195	0	0	0	0
Acidobacteria_Gp17	0.0039	0.00195	0	0.0039	0.0039	0	0.00195	0.00195	0	0.0039	0.0039	0.0039	0.00974	0.0039	0.00195	0	0.00195	0.0039	0	0.00195	0.0039	0.00585	0	0.0117	0.00195	0	0.0039	0.0136	0.00585	0.0117	0.00585	0.00195	0.00195	0.00585	0.00585	0.00195	0	0	0.00585	0.00195	0.0039	0	0	0.0039	0.00195	0	0.00195	0.00974
Acidobacteria_Gp23	0.00585	0.00585	0.0117	0.0136	0.0039	0.00779	0.00974	0.00585	0.0039	0.00195	0.00779	0.0136	0.00779	0.00779	0.0117	0.0156	0.0117	0.00585	0.0136	0.0136	0.0214	0.0136	0.00974	0.00974	0.00585	0.00779	0.0136	0.0565	0.0409	0.0331	0.00779	0.0136	0.00974	0.0117	0.0156	0.0273	0.0195	0.0136	0.00779	0.0136	0.00974	0.00585	0.00779	0.0039	0.00974	0.0156	0.0039	0.0273
